,features,importance
0,vertical_drop,0.02914859148228364
1,trams,0.0
2,fastEight,0.0
3,fastSixes,0.0
4,fastQuads,0.0006972416762564624
5,quad,0.005954445649094052
6,triple,0.01025651613778481
7,double,0.006493988703077298
8,surface,0.005218194363708698
9,total_chairs,0.018049179365292486
10,Runs,0.02206649851858765
11,TerrainParks,0.007007395681327063
12,LongestRun_mi,0.023650322492393273
13,SkiableTerrain_ac,0.02362348464039888
14,Snow Making_ac,0.07283233752846222
15,daysOpenLastYear,0.009803662959563272
16,yearsOpen,0.022107745954327237
17,averageSnowfall,0.02828178880867166
18,AdultWeekday,0.6661925531754989
19,projectedDaysOpen,0.013508191483020517
20,NightSkiing_ac,0.018236761111033402
21,clusters,0.016871100269218432
